Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,17115,2014,4,47,Y
IDCJAC0001,17115,2014,5,4,Y
IDCJAC0001,17115,2014,6,0.8,Y
IDCJAC0001,17115,2014,7,0.4,Y
IDCJAC0001,17115,2014,8,16,Y
IDCJAC0001,17115,2014,9,2,Y
IDCJAC0001,17115,2014,10,0,Y
IDCJAC0001,17115,2014,11,4,Y
IDCJAC0001,17115,2014,12,0,Y
IDCJAC0001,17115,2015,1,102,Y
IDCJAC0001,17115,2015,2,0,Y
IDCJAC0001,17115,2015,3,0,Y
IDCJAC0001,17115,2015,4,17.6,Y
IDCJAC0001,17115,2015,5,20.2,Y
IDCJAC0001,17115,2015,6,7.4,Y
IDCJAC0001,17115,2015,7,1.4,Y
IDCJAC0001,17115,2015,8,7.1,Y
IDCJAC0001,17115,2015,9,0,Y
IDCJAC0001,17115,2015,10,0,Y
IDCJAC0001,17115,2015,11,0,Y
IDCJAC0001,17115,2015,12,0,Y
IDCJAC0001,17115,2016,1,28.2,Y
IDCJAC0001,17115,2016,2,17.2,Y
IDCJAC0001,17115,2016,3,4.4,Y
IDCJAC0001,17115,2016,4,0,Y
IDCJAC0001,17115,2016,5,37,Y
IDCJAC0001,17115,2016,6,8.6,Y
IDCJAC0001,17115,2016,7,4,Y
IDCJAC0001,17115,2016,8,10.4,Y
IDCJAC0001,17115,2016,9,100,Y
IDCJAC0001,17115,2016,10,25,Y
IDCJAC0001,17115,2016,11,19.4,Y
IDCJAC0001,17115,2016,12,76.2,Y
IDCJAC0001,17115,2017,1,30.2,Y
IDCJAC0001,17115,2017,2,0,Y
IDCJAC0001,17115,2017,3,0,Y
IDCJAC0001,17115,2017,4,14.5,Y
IDCJAC0001,17115,2017,5,5.8,Y
IDCJAC0001,17115,2017,6,10,Y
IDCJAC0001,17115,2017,7,2.6,Y
IDCJAC0001,17115,2017,8,7.6,Y
IDCJAC0001,17115,2017,9,14.2,Y
IDCJAC0001,17115,2017,10,4.8,Y
IDCJAC0001,17115,2017,11,4,Y
IDCJAC0001,17115,2017,12,0,Y
IDCJAC0001,17115,2018,1,4.4,Y
IDCJAC0001,17115,2018,2,0,Y
IDCJAC0001,17115,2018,3,0,Y
IDCJAC0001,17115,2018,4,0,Y
IDCJAC0001,17115,2018,5,0,Y
IDCJAC0001,17115,2018,6,7,Y
IDCJAC0001,17115,2018,7,0,Y
IDCJAC0001,17115,2018,8,2.8,Y
IDCJAC0001,17115,2018,9,0,Y
IDCJAC0001,17115,2018,10,3,N
IDCJAC0001,17115,2018,11,18.8,N
IDCJAC0001,17115,2018,12,0,N
IDCJAC0001,17115,2019,1,2,N
IDCJAC0001,17115,2019,2,0,N
IDCJAC0001,17115,2019,3,8,N
IDCJAC0001,17115,2019,4,8,N
IDCJAC0001,17115,2019,5,7.2,N
IDCJAC0001,17115,2019,6,0,N
IDCJAC0001,17115,2019,7,0,N
IDCJAC0001,17115,2019,8,0,N
IDCJAC0001,17115,2019,9,0,N
IDCJAC0001,17115,2019,10,0,N
IDCJAC0001,17115,2019,11,0,N
IDCJAC0001,17115,2019,12,10,N
IDCJAC0001,17115,2020,1,0,N
IDCJAC0001,17115,2020,2,0,N
IDCJAC0001,17115,2020,3,22.4,N
IDCJAC0001,17115,2020,4,12.8,N
IDCJAC0001,17115,2020,5,10.6,N
IDCJAC0001,17115,2020,6,0,N
IDCJAC0001,17115,2020,7,3,N
IDCJAC0001,17115,2020,8,29,N
